Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,WS,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS/48
2836,1984,NBA,2,30,GSW,Steve Burtt\burttst01,21.232,G,us,Iona College,1985,1993,0,101,11.1,5.8,0.9,1.2,0.5,0.1,0.426,0.434,0.143,0.695,0
2837,1984,NBA,4,71,IND,Ralph Jackson\jacksra01,21.242,G,us,UCLA,1985,1985,0,1,12,2,1,4,2,0,0.333,0.333,,,0.069
2838,1984,NBA,6,120,MIL,McKinley Singleton\singlmc01,22.239,G,us,UAB,1987,1987,0,2,5,2,0,0.5,0,0,0.667,1,0,,0.131
2839,1985,NBA,2,36,NJN,Yvon Joseph\josepyv01,27.237,C,ht,Georgia Tech,1986,1986,0,1,5,2,0,0,0,0,,,,1,0.309
2840,1985,NBA,2,43,DEN,Barry Stevens\steveba01,22.158,G-F,us,Iowa State,1993,1993,0,2,3,1,1,0,0,0,0.5,0.5,,,0.157
2841,1985,NBA,3,59,ATL,Sedric Toney\toneyse01,23.072,G,us,Dayton,1986,1994,0,112,12.6,3.7,0.9,2.1,0.4,0,0.365,0.372,0.341,0.781,0
2842,1985,NBA,6,139,BOS,Ralph Lewis\lewisra01,22.088,F-G,us,La Salle,1988,1990,0,99,6.8,2.3,1.2,0.3,0.3,0.1,0.414,0.417,0.25,0.562,-0.003
2843,1986,NBA,2,32,ATL,Cedric Henderson\hendece01,20.262,F,us,Georgia,1987,1987,0,8,2,1.4,1,0,0,0,0.5,0.5,,1,-0.015
2844,1986,NBA,2,45,MIL,Keith Smith\smithke03,22.105,G,us,Loyola Marymount,1987,1987,0,42,11,3.3,0.8,1,0.6,0.1,0.38,0.383,0.333,0.75,-0.003
2845,1986,NBA,3,51,GSW,Mike Williams\willimi03,22.313,F,us,Bradley,1990,1990,0,21,4.9,0.7,1.1,0.1,0.1,0.3,0.333,0.353,0,0.5,0.012
2846,1986,NBA,3,54,LAC,Dwayne Polee\poleedw01,23.113,G,us,Pepperdine,1987,1987,0,1,6,2,0,0,1,0,0.25,1,0,,-0.397
2847,1986,NBA,3,67,PHI,Ron Rowan\rowanro01,24.061,G,us,St. John's,1987,1987,0,7,2.3,1.7,0.1,0.1,0.6,0,0.444,0.375,1,0.75,0.084
2848,1986,NBA,4,85,DAL,Myron Jackson\jacksmy01,22.047,G,us,Little Rock,1987,1987,0,8,2.8,1.4,0.4,0.8,0.1,0,0.222,0.222,,0.875,-0.104
2849,1986,NBA,5,95,IND,Richard Rellford\rellfri01,22.127,F,us,Michigan,1988,1988,0,4,10.5,4,1.8,0.3,0,0.8,0.625,0.625,,0.75,0.048
2850,1987,NBA,1,15,UTA,José Ortiz\ortizjo01,23.246,F,pr,Oregon State,1989,1990,0,64,6.1,2.9,1.1,0.3,0.2,0.1,0.443,0.445,0.333,0.596,0.002
2851,1987,NBA,2,31,DEN,Andre Moore\moorean01,22.36,F,us,Loyola Chicago,1988,1988,0,10,5,2.4,1.4,0.6,0.2,0.1,0.333,0.333,,0.75,-0.013
2852,1987,NBA,3,50,SAS,Phil Zevenbergen\zevenph01,23.075,C,us,Washington,1988,1988,0,8,7.3,3.8,1.6,0.4,0.4,0.1,0.556,0.556,,0,0.041
2853,1987,NBA,3,58,GSW,Darryl Johnson\johnsda02,21.244,G,us,Michigan State,1996,1996,0,11,2.5,1.1,0.2,0.1,0,0,0.417,0.455,0,1,0.01
2854,1987,NBA,5,107,UTA,Bart Kofoed\kofoeba01,23.095,G,us,University of Nebraska at Kearney,1988,1993,0,111,6.3,1.5,0.5,1,0.2,0,0.387,0.41,0.188,0.614,0.002
